TRACKING_MONTH,CARRIER,SOURCE_CITY,SOURCE_STATE,SOURCE_COUNTRY,DEST_CITY,DEST_STATE,DEST_COUNTRY,ORDER_COUNT,AVG_TRANSIT_DAYS,ACTUAL_TRANSIT_DAYS,ONTIME_PERFORMANCE
2024 05,ODFL,LOSANGELES,CA,US,GRANTSVILLE,UT,US,2,2,3,100
2024 08,ODFL,LANCASTER,TX,US,BESSEMER,AL,US,3,2,5,67
2024 07,ODFL,RICHMOND,VA,US,ABINGDON,VA,US,6,1,3,67
2024 08,ODFL,CHICAGO,IL,US,PLANT CITY,FL,US,4,3,5,25
2024 07,ODFL,RICHMOND,VA,US,MCLEANSVILLE,NC,US,10,1,6,100
2024 08,ODFL,CHICAGO,IL,US,SANTA ROSA,CA,US,3,5,12,100
2024 06,ODFL,LOSANGELES,CA,US,DAYTON,TX,US,3,4,6,34
2024 06,ODFL,CHICAGO,IL,US,ROME,NY,US,4,2,4,25
2024 07,ODFL,RICHMOND,VA,US,ALACHUA,FL,US,6,2,4,34
2024 07,ODFL,SEATTLE,WA,US,WOODLAND,CA,US,4,2,5,50
2024 07,ODFL,CHICAGO,IL,US,SHELBY,IA,US,12,1,5,20
2024 09,ODFL,CHICAGO,IL,US,MARCY,NY,US,2,2,3,100
2024 05,ODFL,LANCASTER,TX,US,BESSEMER,AL,US,1,2,3,100
2024 05,ODFL,LANCASTER,TX,US,SEARCY,AR,US,1,1,3,100
2024 10,ODFL,LOSANGELES,CA,US,PUYALLUP,WA,US,14,2,8,100
2024 09,ODFL,DALLAS,TX,US,HAUPPAUGE,NY,US,14,4,6,15
2024 07,ODFL,LANCASTER,TX,US,LUGOFF,SC,US,1,2,4,100
2024 07,ODFL,LOSANGELES,CA,US,TOPEKA,KS,US,4,3,7,50
2024 07,RBTW,LANCASTER,TX,US,READING,PA,US,1,2,3,100
2024 10,ODFL,LOSANGELES,CA,US,MOXEE,WA,US,15,2,6,25
2024 06,ODFL,SEATTLE,WA,US,EUGENE,OR,US,3,1,2,34
2024 05,ODFL,CHICAGO,IL,US,SMYRNA,DE,US,2,2,3,100
2024 05,ODFL,SEATTLE,WA,US,FIFE,WA,US,2,1,3,100
2024 08,ODFL,CHICAGO,IL,US,BLUFFTON,IN,US,8,1,8,75
2024 06,ODFL,SEATTLE,WA,US,SHAFTER,CA,US,2,2,3,100
2024 07,ODFL,LANCASTER,TX,US,OCONOMOWOC,WI,US,3,2,4,34
2024 08,ODFL,RICHMOND,VA,US,OPELOUSAS,LA,US,2,3,4,50
2024 07,ODFL,LANCASTER,TX,US,EDWARDSVILLE,IL,US,3,2,8,34
2024 06,ODFL,DALLAS,TX,US,RICHMOND,VA,US,3,4,6,100
2024 07,ODFL,CHICAGO,IL,US,CULLMAN,AL,US,2,2,3,100
2024 07,ODFL,RICHMOND,VA,US,POTTSVILLE,PA,US,3,1,5,100
2024 05,ODFL,CHICAGO,IL,US,SHELBY,NC,US,2,2,3,100
2024 07,AEQC,RICHMOND,VA,US,CARLISLE,PA,US,51,2,2,13
2024 10,ODFL,LANCASTER,TX,US,AMARILLO,TX,US,19,1,8,15
2024 09,ODFL,LOSANGELES,CA,US,CHINO,CA,US,8,1,4,38
2024 10,ODFL,LANCASTER,TX,US,WEST JEFFERSON,OH,US,7,3,5,40
2024 09,ODFL,LOSANGELES,CA,US,GALESBURG,MI,US,6,4,6,67
2024 09,ODFL,CHICAGO,IL,US,MIDWAY,GA,US,8,2,3,40
2024 09,ODFL,CHICAGO,IL,US,JEFFERSON,GA,US,3,2,4,34
2024 09,ODFL,CHICAGO,IL,US,TIFTON,GA,US,13,2,6,20
2024 09,ODFL,RICHMOND,VA,US,MILTON,PA,US,2,1,3,100
2024 09,ODFL,RICHMOND,VA,US,MARCY,NY,US,2,2,5,100
2024 09,ODFL,CHICAGO,IL,US,SEARCY,AR,US,6,2,4,50
2024 10,ODFL,LANCASTER,TX,US,AMSTERDAM,NY,US,4,3,6,50
2024 06,ODFL,SEATTLE,WA,US,HERMISTON,OR,US,2,1,3,50
2024 11,ODFL,CHICAGO,IL,US,LA CROSSE,WI,US,8,1,3,50
2024 10,ODFL,RICHMOND,VA,US,PORTLAND,TN,US,5,2,5,40
2024 11,ODFL,CHICAGO,IL,US,EDWARDSVILLE,IL,US,10,1,5,29
2024 10,ODFL,RICHMOND,VA,US,ALACHUA,FL,US,12,2,4,40
2024 10,ODFL,RICHMOND,VA,US,NORTH LITTLE ROCK,AR,US,2,2,4,100
2024 07,ODFL,RICHMOND,VA,US,NEWPORT NEWS,VA,US,7,1,7,43
2024 07,ODFL,SEATTLE,WA,US,MERIDIAN,ID,US,3,1,4,67
2024 07,ODFL,SEATTLE,WA,US,LOVELAND,CO,US,2,2,4,100
2024 06,ODFL,SEATTLE,WA,US,RIALTO,CA,US,2,2,3,100
2024 12,ODFL,CHICAGO,IL,US,TOBYHANNA,PA,US,4,2,4,50
2024 10,ODFL,CHICAGO,IL,US,CLEVELAND,TN,US,8,2,8,100
2024 10,AEQC,GRAND RAPIDS,MI,US,RICHMOND,VA,US,21,4,6,24
2024 09,ODFL,DALLAS,TX,US,CHARLOTTE,NC,US,7,3,6,29
2024 10,ODFL,CHICAGO,IL,US,HOPKINS,MN,US,8,1,2,100
2024 09,ODFL,LANCASTER,TX,US,DACULA,GA,US,2,2,6,100
2024 12,ODFL,LANCASTER,TX,US,CHARMA,NM,US,3,3,3,100
2024 10,ODFL,CHICAGO,IL,US,WINDSOR,WI,US,8,1,2,50
