SOURCE_CITY,SOURCE_STATE,SOURCE_COUNTRY,DEST_CITY,DEST_STATE,DEST_COUNTRY,TMODE,CARRIER,SPOT_RATE,DISTANCE,COST_PER_MILE
PHARR,TX,US,MILFORD,OH,US,LTL,ODFL,386.85,1391.13,0.28
PHARR,TX,US,COLLEGE POINT,NY,US,LTL,ODFL,326.72,1960.71,0.16
PHARR,TX,US,ROCKWALL,TX,US,PARCEL,FDEG,4992.44,527,9.5
PHARR,TX,US,ONTARIO,CA,US,LTL,ODFL,340.62,1484.63,0.23
PHARR,TX,US,CANTON,OH,US,LTL,ODFL,246.04,1602.13,0.16
PHARR,TX,US,FARMINGTON,MN,US,PARCEL,FDEG,5198.8,1403,3.56
PHARR,TX,US,LIBERTYVILLE,IL,US,PARCEL,FDEG,4814.2,1429,3.5
PHARR,TX,US,LITHIA SPRINGS,GA,US,LTL,ODFL,181.67,1117,0.16
PHARR,TX,US,CITY OF INDUSTRY,CA,US,PARCEL,FDEG,4970.32,1510.5,3.31
PHARR,TX,US,DURHAM,NC,US,LTL,ODFL,274.88,1508,0.18
ELWOOD,IL,US,YORK,PA,US,LTL,ODFL,448.87,692.71,0.64
ELWOOD,IL,US,WALKER,MI,US,LTL,ODFL,204.85,197,1.03
RICHMOND,VA,US,REDLANDS,CA,US,TL,RBTW,3725.54,2525.25,1.46
RICHMOND,VA,US,GOODLETTSVILLE,TN,US,LTL,ODFL,171.43,600.5,0.3
RICHMOND,VA,US,CHARLESTON,TN,US,LTL,ODFL,469.77,488.67,0.96
RICHMOND,VA,US,CARLISLE,PA,US,TL,RBTW,831.12,205.91,4.03
GRAND RAPIDS,MI,US,COOKEVILLE,TN,US,TL,BNCH,5020.78,539,9.28
ELWOOD,IL,US,CHEROKEE,IA,US,LTL,ODFL,813.31,451.67,1.81
ELWOOD,IL,US,CARLISLE,PA,US,TL,BNCH,4846.23,656.4,7.61
ELWOOD,IL,US,CONCORD,NC,US,LTL,ODFL,378.3,736,0.52
ELWOOD,IL,US,SUN PRAIRIE,WI,US,TL,RBTW,628.9,163,3.98
ELWOOD,IL,US,SANGER,TX,US,TL,RBTW,2312.7,865,2.56
ELWOOD,IL,US,EAU CLAIRE,WI,US,TL,RBTW,1129.34,329,3.29
ELWOOD,IL,US,SMITHFIELD,NC,US,TL,RBTW,2534.22,816,3.08
ELWOOD,IL,US,GARDEN CITY,GA,US,TL,RBTW,2652.61,924,2.99
ELWOOD,IL,US,EDWARDSVILLE,IL,US,PARCEL,FDEG,4958.15,228,21.9
RICHMOND,VA,US,FALL RIVER,MA,US,TL,AFXN,2990.59,522.5,5.91
RICHMOND,VA,US,MORRIS,IL,US,LTL,FXFE,915.94,792,1.18
RICHMOND,VA,US,CEDAR FALLS,IA,US,LTL,ODFL,436.59,1036.36,0.42
RICHMOND,VA,US,MILTON,PA,US,LTL,ODFL,670.53,283,2.38
RICHMOND,VA,US,COLUMBUS,OH,US,TL,BNCH,5123.1,465,10.75
RICHMOND,VA,US,NORTH LITTLE ROCK,AR,US,LTL,ODFL,658.2,936,0.7
RICHMOND,VA,US,RIVERSIDE,CA,US,TL,RBTW,5077.88,2535,1.95
RICHMOND,VA,US,ST. JAMES,MO,US,LTL,ODFL,416.36,905,0.47
RICHMOND,VA,US,GROVE CITY,OH,US,TL,RBTW,1248.13,459.2,2.65
RICHMOND,VA,US,WOODSTOCK,GA,US,LTL,ODFL,151.38,524,0.3
RICHMOND,VA,US,WALTHAM,MA,US,LTL,ODFL,159.25,534,0.28
RICHMOND,VA,US,CHICOPEE,MA,US,LTL,ODFL,144.72,474,0.32
RICHMOND,VA,US,DAVENPORT,FL,US,LTL,ODFL,158.48,773,0.2
RICHMOND,VA,US,ITHACA,NY,US,LTL,ODFL,158.57,411,0.37
RICHMOND,VA,US,SMITHFIELD,NC,US,LTL,ODFL,784.68,163,4.84
SUMNER,WA,US,WEST JEFFERSON,OH,US,LTL,ODFL,1032.92,2297,0.47
SUMNER,WA,US,WOODLAND,CA,US,LTL,ODFL,262.2,707,0.37
SUMNER,WA,US,REDLANDS,CA,US,TL,LRGR,1891.51,1164,1.63
