TENDER_PERF_PERCENTAGE,CARRIER,SOURCE_CITY,DEST_CITY
96,WALM,MILTON,MISSISSAUGA
86,RBTW,RICHMOND,HAMPTON
79,FDEG,PHARR,TWINSBURG
86,RBTW,LANCASTER,PUEBLO
97,RBTW,REDLANDS,HERMISTON
67,FDEG,PHARR,SAN ANTONIO
95,ODFL,RICHMOND,WINDSOR LOCKS
50,ODFL,RICHMOND,REDLANDS
86,FXFC,MILTON,NEW WESTMINSTER
78,FDEG,PHARR,TULSA
95,RBTW,RICHMOND,WOODLAND
84,RBTW,RICHMOND,PRINCE GEORGE
99,ODFL,ELWOOD,OMAHA
95,ODFL,RICHMOND,NORFOLK
82,FDEG,PHARR,SOLON
98,IQLS,GRAND RAPIDS,REDLANDS
95,RBTW,MILTON,AJAX
99,ODFL,ELWOOD,INWOOD
65,FDEG,PHARR,MOUNT PLEASANT
94,RBTW,REDLANDS,SHAFTER
50,FDEG,PHARR,MANSFIELD
94,BNCH,GRAND RAPIDS,WAYLAND
72,FXFC,MILTON,NANAIMO
95,RBTW,RICHMOND,WINCHESTER
88,FDEG,PHARR,AURORA
75,RBTW,REDLANDS,SALT LAKE CITY
97,FXFC,MILTON,TSAWWASSEN
97,HOSD,ELWOOD,SEYMOUR
86,RBTW,RICHMOND,GROVE CITY
95,AACT,PHARR,HOUSTON
50,RBTW,RICHMOND,ONTARIO
90,AFXN,ELWOOD,SHELBY TOWNSHIP
67,RBTW,RICHMOND,RIVERSIDE
89,LRGR,SUMNER,LOVELAND
25,RBTW,REDLANDS,VILLA RICA
91,RBTW,LANCASTER,MADISON
98,FXFC,MILTON,MISSISSAUGA
50,FDEG,PHARR,RALEIGH
67,FDEG,PHARR,VINELAND
94,BGXP,ELWOOD,RICHMOND
97,AFXN,REDLANDS,RIVERSIDE
93,AACT,PHARR,FLOWER MOUND
50,RBTW,ELWOOD,GREENVILLE
93,RBTW,SUMNER,ELWOOD
67,FDEG,PHARR,RACINE
97,RBTW,RICHMOND,PENNS GROVE
97,RBTW,LANCASTER,REPUBLIC
50,RBTW,PHARR,ROMEOVILLE
75,FDEG,PHARR,CARLSTADT
62,FDEG,PHARR,BALCH SPRINGS
95,AEQC,RICHMOND,FALL RIVER
72,FDEG,PHARR,MILTON
92,FDEG,PHARR,DENVER
97,ODFL,PHARR,ORLANDO
67,FDEG,PHARR,PORTLAND
50,FDEG,PHARR,MEMPHIS
88,ODFL,PHARR,JESSUP
95,RBTW,REDLANDS,RIVERSIDE
89,FDEG,PHARR,CONCORD
99,DNGS,LANCASTER,TYLER
50,RBTW,PHARR,MOUNT PLEASANT
91,RBTW,RICHMOND,CANTON
97,ODFL,PHARR,CAROL STREAM
98,RBTW,LANCASTER,OTTAWA
34,RBQT,RICHMOND,UXBRIDGE
97,AFXN,ELWOOD,LIVONIA
92,RBTW,SUMNER,PATTERSON
85,FDEG,PHARR,LAS VEGAS
99,LRGR,ELWOOD,LA GRANGE
80,ODFL,REDLANDS,SUFFOLK
82,ABFS,ELWOOD,SCOTTSVILLE
92,ODFL,RICHMOND,CRANBURY
95,RBTW,LANCASTER,SEARCY
80,ODFL,RICHMOND,SCHERTZ
97,ODFL,REDLANDS,CHINO
89,FDEG,PHARR,CHARLOTTE
99,RBTW,GRAND RAPIDS,LANCASTER
82,RBTW,REDLANDS,CHINO
97,AEQC,RICHMOND,TIFTON
50,FDEG,PHARR,FORT WORTH
92,RBTW,LANCASTER,ELWOOD
78,FDEG,PHARR,KATY
88,RBTW,SUMNER,REDLANDS
50,ODFL,SUMNER,N. KINGSTOWN
98,RBTW,LANCASTER,SEALY
99,RBTW,REDLANDS,DINUBA
54,RBTW,REDLANDS,GREENVILLE
67,FDEG,PHARR,ST LOUIS
84,FDEG,PHARR,RESEDA
96,USIT,LANCASTER,BENTONVILLE
93,RBTW,MILTON,SCARBOROUGH
98,RBTW,REDLANDS,DUPONT
58,ODFL,RICHMOND,ONTARIO
90,RBTW,REDLANDS,PINEY FLATS
97,RBTW,REDLANDS,WEST JORDAN
95,RBTW,ELWOOD,GREENWOOD
50,RBTW,PHARR,SCHERTZ
86,FDEG,PHARR,HOUSTON
95,RBTW,RICHMOND,CRANBURY
95,AEQC,RICHMOND,CARLISLE
80,ODFL,LANCASTER,WARSAW
95,RBTW,RICHMOND,BURLINGTON
67,FDEG,PHARR,KNOXVILLE
99,WALM,MILTON,CALGARY
96,ODFL,RICHMOND,FARMINGDALE
88,RBTW,ELWOOD,YORK
94,BNCH,WAYLAND,DUBAI
91,ODFL,PHARR,REDLANDS
67,LRGR,ELWOOD,MOUNT PLEASANT
67,RBTW,LANCASTER,TOPEKA
92,DNGS,LANCASTER,ELWOOD
98,RBTW,MILTON,BRAMPTON
98,LRGR,RICHMOND,AUBURNDALE
72,RBTW,RICHMOND,GREENVILLE
50,RBTW,PHARR,BERKLEY
75,RBTW,ELWOOD,OMAHA
75,FDEG,PHARR,SCRANTON
100,ODFL,PHARR,MOUNT PLEASANT
50,FDEG,PHARR,ELK GROVE VILLAGE
98,AFXN,REDLANDS,REDLANDS
50,FDEG,LANCASTER,TUCSON
94,ODFL,PHARR,SAYREVILLE
91,RBTW,RICHMOND,MONROE
92,RBTW,ELWOOD,BELOIT
50,RBQT,REDLANDS,FRENCH CAMP
98,RBTW,REDLANDS,ALBANY
75,LRGR,RICHMOND,WEST JEFFERSON
50,RBQT,PHARR,BRANDON
91,FXFC,MILTON,NISKU
97,FXFC,MILTON,SCARBOROUGH
94,RBTW,ELWOOD,EDWARDSVILLE
94,RBTW,RICHMOND,READING
69,FDEG,PHARR,JACKSONVILLE
76,RBTW,REDLANDS,HENDERSON
58,UPSG,PHARR,HAUPPAUGE
50,FDEG,PHARR,LONG BEACH
91,AFXN,SUMNER,DUPONT
73,FDEG,PHARR,MILWAUKEE
50,AEQC,RICHMOND,SMYRNA
88,RBTW,MILTON,NAVAN
96,AFXN,ELWOOD,PLAINFIELD
97,AFXN,ELWOOD,UNIVERSITY PARK
80,FDEG,PHARR,SANTA ROSA
98,WALM,MILTON,CORNWALL
94,AEQC,RICHMOND,LUGOFF
98,BGXP,RICHMOND,CHAMBERSBURG
93,RBTW,LANCASTER,GRAIN VALLEY
99,ODFL,ELWOOD,WEST JEFFERSON
98,RBTW,GRAND RAPIDS,MILTON
72,FDEG,PHARR,QUINCY
88,RBTW,MILTON,CALGARY
98,RBTW,REDLANDS,RIALTO
87,RBTW,ELWOOD,CRANBURY
90,RBTW,REDLANDS,ONTARIO
90,FXFE,PHARR,BOSTON
67,RBTW,PHARR,BRANDON
95,IQLS,SUMNER,LANCASTER
67,FDEG,PHARR,KANSAS CITY
67,FDEG,PHARR,ONTARIO
98,RBTW,RICHMOND,LANCASTER
97,AFXN,LANCASTER,FRESNO
84,FDEG,PHARR,MIAMI
67,RBTW,REDLANDS,MADISON
98,ODFL,PHARR,MADISONVILLE
80,RBTW,PHARR,FENTON
50,FDEG,PHARR,BULLHEAD CITY
78,SCNN,ELWOOD,OCONOMOWOC
98,RBTW,RICHMOND,NICHOLS
97,ODFL,ELWOOD,KILGORE
100,LRGR,LANCASTER,PLAINVIEW
97,RBTW,REDLANDS,SALEM
99,ODFL,ELWOOD,CHICAGO
80,FDEG,PHARR,BIRMINGHAM
67,RBTW,LANCASTER,PHARR
50,ODFL,REDLANDS,SAINT PETERSBURG
96,BNCH,GRAND RAPIDS,JIUJIANG CITY
67,FDEG,PHARR,BLOOMINGTON
98,RBTW,ELWOOD,CHARLOTTE
98,RBTW,ELWOOD,GREENFIELD
95,AFXN,RICHMOND,CLEAR BROOK
86,ODFL,ELWOOD,KISSIMMEE
95,AFXN,ELWOOD,CHANNAHON
50,COLL,MILTON,BRAMPTON
99,RBTW,ELWOOD,MOUNT PLEASANT
88,RBTW,ELWOOD,RICHMOND
50,FDEG,PHARR,GLENDALE
85,RBTW,ELWOOD,LANCASTER
90,RBTW,REDLANDS,BUCKEYE
97,RBTW,RICHMOND,TAYLOR
84,AEQC,RICHMOND,SUTHERLAND
50,BNCH,PHARR,TILBURG
95,AEQC,RICHMOND,STUARTS DRAFT
90,RBTW,MILTON,MISSISSAUGA
50,RBTW,ELWOOD,MILTON
67,FDEG,PHARR,ATLANTA
69,FDEG,PHARR,CARSON CITY
97,RBTW,ELWOOD,JOLIET
84,RBTW,REDLANDS,AURORA
95,RBTW,RICHMOND,HATTIESBURG
92,AFXN,SUMNER,STOCKTON
92,LOAM,REDLANDS,WOODLAND
99,LRGR,RICHMOND,SMYRNA
94,IQLS,SUMNER,RICHMOND
78,FDEG,ELWOOD,FISKDALE
97,AFXN,RICHMOND,BALTIMORE
95,RBTW,LANCASTER,SCHERTZ
98,RBTW,REDLANDS,SPOKANE
97,AFXN,REDLANDS,RIALTO
84,RBTW,LANCASTER,FORNEY
99,LRGR,RICHMOND,DELTONA
96,IQLS,SUMNER,ELWOOD
50,RBTW,PHARR,SAN ANTONIO
100,LRGR,RICHMOND,WOODLAND
67,ODFL,REDLANDS,ELWOOD
50,FDEG,PHARR,BURNSVILLE
99,RBTW,RICHMOND,NEWTON
86,ODFL,RICHMOND,MADISON
80,RBTW,REDLANDS,PUEBLO
98,AACT,PHARR,GRAND PRAIRIE
84,FDEG,PHARR,SPARKS
88,ODFL,RICHMOND,TYLER
50,BNCH,REDLANDS,ONTARIO
100,HOSD,GRAND RAPIDS,ELWOOD
76,FDEG,PHARR,KISSIMMEE
92,RBTW,RICHMOND,LAKELAND
50,RBTW,REDLANDS,CHARLOTTE
84,RBTW,SUMNER,RED BLUFF
99,RBTW,ELWOOD,HOPKINSVILLE
98,FXFC,MILTON,HAMILTON
91,RBTW,GRAND RAPIDS,FENTON
96,DART,LANCASTER,OTTAWA
93,RBTW,REDLANDS,PORTERVILLE
50,FDEG,PHARR,INCLINE VILLAGE
97,FXFC,MILTON,CALGARY
56,FDEG,PHARR,MILFORD
50,FDEG,PHARR,TWIN FALLS
80,RBTW,MILTON,MILTON
76,RBTW,REDLANDS,MORENO VALLEY
92,RBTW,LANCASTER,BENTONVILLE
97,ODFL,REDLANDS,SAN BERNARDINO
95,FXFC,MILTON,OTTAWA
93,ODFL,ELWOOD,PRESCOTT VALLEY
89,ODFL,RICHMOND,PRINCE GEORGE
67,RBTW,ELWOOD,NORTH CANTON
98,LOAM,REDLANDS,LAS VEGAS
97,RBTW,ELWOOD,OTTAWA
50,FDEG,PHARR,SANTA FE SPRINGS
91,HOSD,ELWOOD,SPRING VALLEY
87,RBTW,RICHMOND,FLORENCE
98,RBTW,ELWOOD,LENEXA
98,RBTW,REDLANDS,TURLOCK
97,ODFL,ELWOOD,THE COLONY
50,FDEG,PHARR,BROOKFIELD
90,RBTW,MILTON,NEW WESTMINSTER
99,ODFL,PHARR,JACKSONVILLE
75,FDEG,PHARR,CHULA VISTA
98,DNGS,LANCASTER,SEARCY
97,AACT,PHARR,LITHIA SPRINGS
81,FDEG,PHARR,SOUTH PLAINFIELD
94,RBTW,ELWOOD,PLAINFIELD
91,AACT,PHARR,BROWNS SUMMIT
90,RBTW,PHARR,RICHMOND
75,FDEG,PHARR,ALBUQUERQUE
97,ODFL,ELWOOD,DORAL
78,RBTW,REDLANDS,SAN BERNARDINO
67,RBTW,ELWOOD,CARLISLE
95,RBTW,ELWOOD,AURORA
50,COLL,MILTON,CALGARY
89,AFXN,LANCASTER,AMARILLO
95,RBTW,ELWOOD,SHELBY TOWNSHIP
95,FXFC,MILTON,LONDON
96,RBTW,ELWOOD,MONROE
78,RBTW,REDLANDS,KANSAS CITY
86,LRGR,LANCASTER,REPUBLIC
94,RBTW,RICHMOND,RAYMOND
96,RBTW,REDLANDS,GRANTSVILLE
80,FDEG,PHARR,NORWOOD
88,FDEG,PHARR,TAMPA
91,FDEG,PHARR,SAN DIEGO
70,FDEG,PHARR,PLANO
90,AEQC,RICHMOND,GROVE CITY
50,FDEG,PHARR,NEW YORK
96,FDEG,PHARR,PHOENIX
98,ODFL,PHARR,JERSEY CITY
50,FDEG,PHARR,BALDWINSVILLE
94,AFXN,LANCASTER,PARK CITY
50,FDEG,PHARR,ALBANY
50,AEQC,RICHMOND,HOPE MILLS
50,RBTW,ELWOOD,TAYLOR
97,ODFL,ELWOOD,JEFFERSON
97,BGXP,RICHMOND,WEST JEFFERSON
94,RBTW,REDLANDS,ELWOOD
94,RBTW,REDLANDS,LANCASTER
98,RBTW,ELWOOD,FINDLAY
98,RBTW,RICHMOND,FREDERICKSBURG
98,RBTW,RICHMOND,EASTON
60,RBTW,RICHMOND,SUFFOLK
99,RBTW,REDLANDS,APPLE VALLEY
57,RBTW,ELWOOD,PINEY FLATS
50,AACT,PHARR,LAKE BUENA VISTA
99,AFXN,ELWOOD,BELOIT
88,FDEG,PHARR,CITY OF INDUSTRY
94,RBTW,REDLANDS,LOVELAND
97,FXFC,MILTON,DELTA
98,AFXN,REDLANDS,STOCKTON
98,RBTW,LANCASTER,SAN ANTONIO
95,ODFL,LANCASTER,COPPELL
94,ODFL,PHARR,CORONA
88,AACT,PHARR,MYRTLE BEACH
95,RBTW,RICHMOND,LEWISBERRY
80,FDEG,PHARR,DRAPER
78,RBTW,PHARR,KENOSHA
91,AEQC,RICHMOND,YORK
80,RBTW,PHARR,ELWOOD
67,ODFL,REDLANDS,PINEY FLATS
98,RBTW,LANCASTER,NEW BRAUNFELS
99,LOAM,LANCASTER,COPPELL
96,RBTW,LANCASTER,SANGER
75,ODFL,GRAND RAPIDS,GILBERT
84,FDEG,PHARR,NEW BRIGHTON
67,FDEG,PHARR,CHATSWORTH
99,LRGR,RICHMOND,CULLMAN
97,AEQC,GRAND RAPIDS,RICHMOND
75,FDEG,PHARR,COUNTRYSIDE
100,BNCH,WAYLAND,TILBURG
50,NFFI,DELTA,RICHMOND
80,UFLB,LANCASTER,SEALY
96,RBTW,LANCASTER,HOUSTON
98,LRGR,ELWOOD,COLDWATER
94,RBTW,REDLANDS,FONTANA
84,RBTW,GRAND RAPIDS,SUMNER
99,WALM,DELTA,CALGARY
94,USIT,LANCASTER,TOPEKA
75,ABFS,LANCASTER,SAN BERNARDINO
98,RBTW,RICHMOND,NORTH CANTON
91,RBTW,REDLANDS,RED BLUFF
80,ODFL,RICHMOND,COPPELL
88,ODFL,SUMNER,PHOENIX
98,DNGS,LANCASTER,MIDLOTHIAN
50,FDEG,PHARR,SANTA BARBARA
73,RBTW,ELWOOD,GRAND RAPIDS
99,RBTW,ELWOOD,COLDWATER
97,RBTW,LANCASTER,KANSAS CITY
98,FXFC,MILTON,BOUCHERVILLE
96,ODFL,RICHMOND,TAYLOR
95,RBTW,RICHMOND,WURTSBORO
95,ODFL,RICHMOND,NORTH CANTON
97,ODFL,ELWOOD,LA CROSSE
72,FDEG,PHARR,SCHERTZ
67,RBTW,RICHMOND,BETHLEHEM
93,RBTW,RICHMOND,NEW CASTLE
89,RBTW,PHARR,MILTON
84,FDEG,PHARR,TILBURG
89,RBTW,REDLANDS,TRACY
94,RBTW,REDLANDS,SACRAMENTO
99,RBTW,REDLANDS,RICHMOND
95,LRGR,LANCASTER,CULLMAN
93,RBTW,RICHMOND,FINDLAY
67,FDEG,PHARR,KILGORE
75,RBTW,REDLANDS,TYLER
100,DNGS,LANCASTER,PALESTINE
97,RBTW,LANCASTER,DAYTON
89,FDEG,PHARR,GLENVIEW
96,RBTW,ELWOOD,BROWNSTOWN
99,RBTW,RICHMOND,ELWOOD
72,SCNN,ELWOOD,INDIANAPOLIS
97,AFXN,ELWOOD,CHARLESTON
99,LRGR,RICHMOND,MIDWAY
99,LRGR,LANCASTER,SCHERTZ
86,RBTW,ELWOOD,BURLINGTON
50,RBTW,REDLANDS,MEMPHIS
50,FDEG,PHARR,HIGHLAND PARK
75,RBTW,ELWOOD,PORT WENTWORTH
98,ODFL,PHARR,LAS VEGAS
98,RBTW,ELWOOD,SEYMOUR
67,FDEG,PHARR,TAYLOR
88,AACT,PHARR,TUCKER
50,ODFL,REDLANDS,GREENVILLE
75,RBTW,LANCASTER,OPELOUSAS
50,FDEG,PHARR,COLORADO SPRINGS
